"Censo_93","Censo_07","Censo_17","Censo_22","provincia"
28475,50490,37163,33233,"San Antonio de Putina"
112526,131239,141474,146978,"San Ignacio"
48632,51031,51152,52012,"San Marcos"
118069,161132,205362,226393,"San Martín"
61160,56146,48499,45681,"San Miguel"
24494,23114,22572,22225,"San Pablo"
168534,240776,317510,353070,"San Román"
50042,62147,56720,54952,"Sandia"
338951,396434,451184,483774,"Santa"
44571,43856,39322,37717,"Santa Cruz"
52991,58320,55307,55725,"Santiago de Chuco"
94250,193872,225618,244445,"Satipo"
42568,62319,81612,94207,"Sechura"
31963,30700,28686,28091,"Sihuas"
12623,12595,9844,9013,"Sucre"
234562,287680,324116,348478,"Sullana"
108300,136221,158372,173784,"Sánchez Carrión"
188759,262731,324419,358935,"Tacna"
6443,10742,12310,12717,"Tahuamanu"
120904,129396,146248,157511,"Talara"
46738,78523,127511,151561,"Tambopata"
8181,7805,6379,6110,"Tarata"
115686,112230,94953,88605,"Tarma"
97639,104901,86172,82820,"Tayacaja"
70523,72346,75664,77170,"Tocache"
597315,811979,1028481,1162870,"Trujillo"
115406,142338,161369,175684,"Tumbes"
45562,61816,61364,62821,"Ucayali"
48254,56685,67075,71691,"Urubamba"
102920,109043,117598,119879,"Utcubamba"
27079,25412,20805,19318,"Victor Fajardo"
22302,23600,18169,16535,"Vilcas Huamán"
34674,76710,96691,109660,"Viru"
32972,32380,21043,16956,"Yarowilca"
65229,49838,41454,38549,"Yauli"
27746,27501,22200,18949,"Yauyos"
50188,54963,54900,55888,"Yungay"
48258,47400,38646,36286,"Yunguyo"
26754,41054,51423,58511,"Zarumilla"
